Customer_ID,Age,Gender,Employment_Status,Account_Type,Tenure_Months,Number_of_Products,Avg_Balance,Monthly_Transactions,Online_Banking_Usage,Mobile_Banking_Usage,Number_of_Complaints,Complaint_Resolution_Rate,Churn,Total_Digital_Usage,Balance_per_Product
CUST0752,45,Male,Self-employed,Current,95,2,113228,14,6,5,0,0.54,0,11,56614.0
CUST0374,27,Female,Employed,Savings,140,3,129222,15,16,13,0,0.77,1,29,43074.0
CUST1842,28,Female,Employed,Savings,101,3,50948,19,12,9,0,0.96,0,21,16982.67
CUST2033,22,Male,Self-employed,Current,48,3,24871,12,4,9,0,0.7,1,13,8290.33
CUST2082,44,Male,Employed,Savings,95,3,152607,14,11,8,1,0.53,1,19,50869.0
CUST0516,30,Male,Employed,Current,169,2,241694,11,6,10,0,0.78,0,16,120847.0
CUST0013,27,Male,Employed,Current,25,2,489601,16,9,14,0,0.93,1,23,244800.5
CUST2117,35,Male,Self-employed,Current,164,1,90844,17,7,11,0,0.54,0,18,90844.0
CUST2038,33,Male,Unemployed,Savings,143,4,333651,15,6,10,0,0.89,0,16,83412.75
CUST1919,29,Female,Self-employed,Savings,157,3,66472,15,8,5,0,0.64,0,13,22157.33
CUST0755,55,Female,Employed,Savings,62,1,255962,16,4,10,0,0.88,0,14,255962.0
CUST2457,28,Female,Employed,Savings,56,4,485037,9,5,12,0,0.63,1,17,121259.25
CUST1332,46,Male,Employed,Savings,13,1,195149,11,11,16,0,0.75,0,27,195149.0
CUST1113,41,Male,Employed,Savings,92,1,29302,8,15,7,0,0.61,0,22,29302.0
CUST2976,53,Female,Employed,Savings,19,1,523580,13,6,13,0,0.51,0,19,523580.0
CUST1006,36,Female,Employed,Savings,147,2,454218,17,4,6,0,0.97,0,10,227109.0
CUST2339,29,Female,Employed,Current,147,1,120810,13,5,8,0,0.74,0,13,120810.0
CUST1448,23,Female,Self-employed,Current,38,1,39957,14,8,3,1,0.99,0,11,39957.0
CUST2169,29,Male,Employed,Current,97,1,135113,13,7,8,0,0.55,0,15,135113.0
CUST1134,30,Male,Self-employed,Savings,155,1,253361,12,9,10,0,0.86,1,19,253361.0
CUST1088,39,Female,Self-employed,Savings,36,3,77383,16,8,11,0,0.98,1,19,25794.33
CUST1507,31,Male,Self-employed,Current,58,3,8519,14,11,16,0,0.76,0,27,2839.67
CUST1934,18,Female,Employed,Savings,177,1,427830,10,9,16,0,0.84,0,25,427830.0
CUST1501,33,Female,Employed,Savings,146,2,161950,14,4,5,1,0.67,0,9,80975.0
CUST0480,37,Male,Employed,Current,136,1,5031,11,8,12,0,0.62,0,20,5031.0
CUST2115,34,Female,Employed,Fixed Deposit,22,2,116763,17,13,8,0,0.93,0,21,58381.5
CUST1914,37,Male,Employed,Savings,76,3,94491,15,5,10,0,0.76,0,15,31497.0
CUST1871,30,Female,Employed,Savings,124,1,83789,19,13,11,0,0.57,0,24,83789.0
CUST1109,45,Female,Employed,Current,121,1,158443,20,4,13,0,0.95,0,17,158443.0
CUST0165,32,Female,Employed,Current,20,3,254617,13,6,6,0,0.79,1,12,84872.33
CUST1075,30,Female,Employed,Savings,163,2,48931,12,8,8,0,0.66,0,16,24465.5
CUST1386,44,Female,Unemployed,Savings,77,2,362864,12,8,7,1,0.94,0,15,181432.0
CUST2284,47,Female,Employed,Current,90,2,161433,10,12,9,0,0.67,0,21,80716.5
CUST0610,31,Male,Unemployed,Fixed Deposit,173,1,51193,21,8,9,0,0.6,0,17,51193.0
CUST2378,34,Male,Employed,Savings,83,2,228608,12,7,13,1,0.53,0,20,114304.0
CUST2774,28,Female,Unemployed,Savings,41,1,7736,13,8,2,0,0.54,1,10,7736.0
CUST0127,36,Male,Employed,Current,71,4,74943,15,9,9,0,0.64,1,18,18735.75
CUST2260,52,Male,Employed,Savings,38,3,277916,14,7,10,0,0.75,1,17,92638.67
CUST1982,41,Female,Employed,Fixed Deposit,61,1,119660,17,6,5,0,0.58,0,11,119660.0
CUST2862,40,Female,Self-employed,Savings,74,3,142922,14,10,12,0,0.99,1,22,47640.67
CUST0931,33,Female,Self-employed,Savings,34,3,63805,16,6,12,0,0.92,1,18,21268.33
CUST2291,42,Male,Unemployed,Current,56,1,217290,21,7,10,0,0.5,0,17,217290.0
CUST0847,36,Male,Self-employed,Fixed Deposit,52,4,221043,18,0,14,1,0.52,0,14,55260.75
CUST0983,30,Female,Self-employed,Savings,143,1,131287,15,4,10,0,0.53,0,14,131287.0
CUST0619,48,Male,Employed,Savings,55,1,71232,11,10,9,0,0.9,0,19,71232.0
CUST1927,43,Female,Employed,Current,50,2,102141,19,5,16,1,0.59,0,21,51070.5
CUST0477,47,Male,Unemployed,Savings,173,2,53074,17,8,14,0,0.52,0,22,26537.0
CUST1999,42,Female,Employed,Current,141,4,72264,12,8,8,0,0.61,0,16,18066.0
CUST2714,32,Male,Self-employed,Current,54,1,4051,9,4,12,0,1.0,1,16,4051.0
CUST1638,18,Female,Self-employed,Savings,60,1,848139,13,5,6,0,0.83,0,11,848139.0
CUST2815,33,Female,Employed,Current,169,2,301527,12,9,12,0,0.54,0,21,150763.5
CUST2208,18,Male,Self-employed,Current,43,3,155271,22,12,9,0,0.58,0,21,51757.0
CUST2203,36,Female,Employed,Savings,15,2,123252,13,13,9,0,0.74,0,22,61626.0
CUST2474,37,Female,Employed,Savings,29,1,221311,14,4,12,0,0.86,0,16,221311.0
CUST1029,29,Female,Self-employed,Savings,135,4,118477,20,4,11,0,0.81,0,15,29619.25
CUST0326,35,Male,Unemployed,Current,112,1,73134,21,5,8,0,0.63,0,13,73134.0
CUST2837,19,Female,Self-employed,Savings,23,1,153356,17,6,7,0,0.53,0,13,153356.0
CUST1956,39,Female,Employed,Savings,94,2,95076,20,9,7,0,0.61,0,16,47538.0
CUST1262,54,Female,Unemployed,Savings,122,2,102954,17,6,15,0,0.54,0,21,51477.0
CUST1788,41,Female,Employed,Savings,70,1,235051,12,13,8,0,0.79,0,21,235051.0
CUST1363,52,Male,Employed,Current,13,4,33271,12,11,7,0,0.69,1,18,8317.75
CUST0985,34,Male,Employed,Savings,50,2,143786,16,6,15,0,0.79,0,21,71893.0
CUST2087,32,Female,Employed,Current,62,3,12948,14,3,16,0,0.71,0,19,4316.0
CUST2870,46,Male,Employed,Current,177,2,67697,18,2,6,0,0.74,0,8,33848.5
CUST0986,40,Male,Self-employed,Savings,114,4,188411,20,5,11,1,0.51,0,16,47102.75
CUST0137,43,Female,Unemployed,Current,173,1,46469,11,7,10,0,0.78,1,17,46469.0
CUST2503,34,Female,Employed,Current,79,2,283663,14,4,10,0,0.69,0,14,141831.5
CUST1762,35,Male,Employed,Savings,94,2,131644,9,4,12,0,0.99,0,16,65822.0
CUST1584,38,Male,Self-employed,Current,60,2,103817,14,12,10,0,0.71,0,22,51908.5
CUST0589,35,Male,Unemployed,Savings,123,2,51237,18,9,14,0,0.63,0,23,25618.5
CUST1903,43,Female,Employed,Current,49,2,44153,20,10,12,0,0.61,0,22,22076.5
CUST2087,31,Male,Employed,Fixed Deposit,96,1,4788,17,7,10,0,0.95,0,17,4788.0
CUST2244,26,Female,Employed,Savings,154,1,120930,17,2,13,0,0.91,0,15,120930.0
CUST1793,50,Male,Self-employed,Savings,169,1,138828,18,6,6,0,0.71,0,12,138828.0
CUST0680,28,Female,Employed,Current,156,1,323211,12,5,12,1,0.52,0,17,323211.0
CUST1630,38,Female,Employed,Savings,60,1,85386,13,6,5,0,0.53,1,11,85386.0
CUST2548,18,Male,Employed,Savings,138,2,51652,14,7,11,1,0.92,0,18,25826.0
CUST0985,29,Female,Self-employed,Savings,42,1,187677,12,11,14,0,0.96,0,25,187677.0
CUST1808,59,Female,Self-employed,Savings,63,1,3851,12,11,8,0,0.69,0,19,3851.0
CUST0344,36,Female,Employed,Current,96,2,80664,11,5,8,0,0.6,1,13,40332.0
CUST2507,43,Female,Self-employed,Savings,17,2,34926,22,2,4,0,0.51,1,6,17463.0
CUST2992,40,Male,Self-employed,Savings,81,1,185748,7,5,9,1,0.61,0,14,185748.0
CUST2920,21,Female,Employed,Savings,140,1,157518,17,9,13,0,0.73,0,22,157518.0
CUST0195,44,Male,Self-employed,Fixed Deposit,180,3,1537,13,5,8,0,0.52,0,13,512.33
CUST1885,25,Male,Employed,Current,14,2,263211,13,10,5,0,0.94,1,15,131605.5
CUST2582,23,Male,Unemployed,Savings,75,3,1863,8,10,8,0,0.8,0,18,621.0
CUST2225,35,Female,Employed,Savings,65,2,21367,12,8,11,0,0.85,0,19,10683.5
CUST0554,40,Male,Self-employed,Current,116,3,47351,16,4,12,0,0.99,0,16,15783.67
CUST2875,32,Male,Employed,Savings,99,2,52014,19,4,10,0,0.61,1,14,26007.0
CUST2132,34,Male,Employed,Savings,115,1,41582,19,5,11,0,0.72,0,16,41582.0
CUST1547,41,Female,Self-employed,Savings,167,2,119639,19,9,10,1,0.81,0,19,59819.5
CUST1326,50,Male,Self-employed,Savings,161,4,179447,18,10,12,0,0.78,0,22,44861.75
CUST2645,63,Male,Employed,Savings,98,1,341073,9,9,10,0,0.93,0,19,341073.0
CUST0706,34,Female,Self-employed,Current,114,4,14539,15,6,8,0,0.98,0,14,3634.75
CUST2667,48,Male,Employed,Current,130,4,25377,13,4,5,0,0.96,0,9,6344.25
CUST2758,42,Male,Employed,Fixed Deposit,19,4,52149,16,4,6,1,0.79,0,10,13037.25
CUST0712,36,Female,Employed,Savings,157,4,227522,9,7,5,0,0.81,1,12,56880.5
CUST1452,34,Male,Self-employed,Savings,39,3,11330,16,12,11,0,0.88,0,23,3776.67
CUST0672,25,Male,Self-employed,Current,61,3,197604,17,3,11,0,0.56,0,14,65868.0
CUST1274,45,Male,Self-employed,Savings,66,1,169570,12,11,10,0,0.57,0,21,169570.0
CUST1828,45,Male,Employed,Current,85,3,62299,21,7,10,0,0.62,0,17,20766.33
CUST2446,30,Female,Self-employed,Savings,101,3,71041,15,8,8,0,0.91,0,16,23680.33
CUST0528,23,Male,Employed,Savings,119,1,218798,16,8,9,0,0.77,1,17,218798.0
CUST2429,35,Male,Employed,Savings,139,2,16847,18,8,14,0,0.78,0,22,8423.5
CUST1569,46,Male,Employed,Savings,157,2,70087,14,9,6,1,0.8,1,15,35043.5
CUST2088,52,Male,Employed,Savings,129,3,62558,15,7,13,0,0.69,0,20,20852.67
CUST1960,29,Male,Employed,Savings,80,2,172153,11,8,8,0,0.73,0,16,86076.5
CUST2570,34,Female,Employed,Current,15,2,70936,13,10,11,0,0.69,0,21,35468.0
CUST0473,52,Female,Employed,Savings,84,2,413938,14,5,10,0,0.76,0,15,206969.0
CUST2248,31,Female,Employed,Current,107,3,14231,11,8,13,0,0.91,0,21,4743.67
CUST2002,25,Female,Employed,Savings,88,2,15786,10,13,5,1,0.76,0,18,7893.0
CUST1149,38,Male,Unemployed,Savings,40,1,15623,20,6,11,0,0.83,1,17,15623.0
CUST2037,59,Female,Employed,Current,142,1,186757,19,9,16,0,0.93,0,25,186757.0
CUST2313,27,Male,Employed,Savings,164,2,153396,12,10,8,0,0.89,1,18,76698.0
CUST2823,30,Female,Self-employed,Current,78,1,31969,15,6,13,1,0.88,0,19,31969.0
CUST1927,34,Female,Employed,Current,162,1,3438,13,10,5,0,0.59,1,15,3438.0
CUST2234,36,Female,Employed,Savings,126,1,140177,13,6,11,0,0.65,0,17,140177.0
CUST0458,31,Female,Employed,Savings,144,2,52945,12,12,8,0,0.97,1,20,26472.5
CUST0831,40,Female,Employed,Current,54,1,125225,26,6,13,0,0.77,0,19,125225.0
CUST1078,28,Male,Employed,Savings,17,2,8766,15,10,9,0,0.86,1,19,4383.0
CUST0919,34,Female,Self-employed,Savings,154,3,46029,13,7,10,0,0.88,0,17,15343.0
CUST1562,42,Female,Employed,Savings,176,3,393049,13,15,10,0,0.58,0,25,131016.33
CUST2283,36,Female,Employed,Current,117,3,181923,9,10,9,2,0.76,0,19,60641.0
CUST1313,42,Male,Unemployed,Savings,131,2,179373,17,7,7,0,0.55,0,14,89686.5
CUST0413,27,Male,Employed,Savings,123,1,118065,18,11,11,0,0.71,0,22,118065.0
CUST2570,19,Female,Employed,Savings,111,1,47288,11,6,8,0,0.59,0,14,47288.0
CUST1333,37,Female,Self-employed,Savings,86,2,13967,8,7,9,0,0.8,0,16,6983.5
CUST2253,44,Male,Employed,Current,14,2,162770,18,8,15,0,0.68,0,23,81385.0
CUST1899,34,Female,Employed,Savings,120,3,50154,19,7,13,0,0.81,0,20,16718.0
CUST0779,19,Female,Employed,Fixed Deposit,162,1,90813,19,5,11,0,0.9,0,16,90813.0
CUST1561,33,Male,Employed,Fixed Deposit,151,4,49814,17,4,9,0,0.51,0,13,12453.5
CUST0564,22,Male,Unemployed,Current,58,2,63854,21,7,10,0,0.71,0,17,31927.0
CUST0794,32,Female,Unemployed,Savings,49,4,198994,13,7,9,0,0.52,0,16,49748.5
CUST1415,21,Female,Unemployed,Current,99,2,19402,19,5,16,0,0.58,1,21,9701.0
CUST2457,18,Female,Unemployed,Fixed Deposit,155,1,155991,16,6,12,0,0.63,0,18,155991.0
CUST1370,44,Male,Employed,Current,158,1,181694,11,9,14,0,0.97,0,23,181694.0
CUST0160,38,Female,Self-employed,Current,108,1,21462,15,6,11,1,0.98,1,17,21462.0
CUST2516,23,Female,Self-employed,Fixed Deposit,152,3,21183,12,7,14,0,0.61,0,21,7061.0
CUST2968,21,Female,Employed,Savings,89,3,172592,7,1,9,0,0.83,1,10,57530.67
CUST2505,23,Male,Self-employed,Savings,67,1,431300,9,10,9,0,0.61,0,19,431300.0
CUST0617,30,Male,Employed,Savings,14,1,253434,7,13,14,0,0.55,1,27,253434.0
CUST0357,47,Female,Employed,Savings,76,1,552038,17,11,6,1,0.65,1,17,552038.0
CUST0279,39,Female,Employed,Fixed Deposit,166,3,303023,9,8,8,0,0.65,0,16,101007.67
CUST0270,25,Male,Employed,Current,143,4,178594,14,6,14,1,0.52,0,20,44648.5
CUST2926,45,Male,Self-employed,Savings,125,1,176746,21,8,13,3,0.89,0,21,176746.0
CUST2694,21,Male,Self-employed,Fixed Deposit,21,2,104639,16,5,15,0,0.75,1,20,52319.5
CUST2395,52,Female,Employed,Savings,55,4,40178,17,5,9,0,0.6,0,14,10044.5
CUST2266,32,Female,Self-employed,Savings,98,3,107120,18,5,9,0,0.85,0,14,35706.67
CUST0618,49,Male,Employed,Savings,168,2,706261,17,6,13,0,0.54,0,19,353130.5
CUST1905,25,Male,Employed,Fixed Deposit,15,1,361029,13,7,9,1,0.71,0,16,361029.0
CUST2746,35,Female,Self-employed,Savings,79,3,300983,17,3,7,0,0.62,0,10,100327.67
CUST0337,30,Male,Employed,Savings,40,1,84822,12,12,11,0,0.69,0,23,84822.0
CUST2845,38,Male,Employed,Savings,177,1,3981,23,5,12,0,0.66,0,17,3981.0
CUST0539,23,Male,Employed,Savings,41,1,21024,19,7,13,1,0.62,1,20,21024.0
CUST0981,26,Male,Employed,Savings,146,4,56826,21,5,8,1,0.69,0,13,14206.5
CUST0956,53,Female,Self-employed,Savings,92,2,108295,12,9,15,0,0.64,0,24,54147.5
CUST1781,37,Female,Self-employed,Current,24,2,161006,12,16,11,1,0.67,1,27,80503.0
CUST1690,45,Male,Self-employed,Savings,16,2,87766,13,3,13,1,0.97,1,16,43883.0
CUST2772,27,Female,Employed,Savings,148,1,282061,13,7,10,1,0.53,0,17,282061.0
CUST1522,34,Female,Self-employed,Current,134,2,87813,8,3,12,0,0.6,0,15,43906.5
CUST2719,34,Female,Employed,Current,105,3,3994,16,11,8,0,0.61,0,19,1331.33
CUST2909,32,Female,Employed,Savings,111,2,18172,10,4,8,0,0.99,0,12,9086.0
CUST2705,34,Female,Self-employed,Savings,73,2,168453,21,9,13,0,0.95,0,22,84226.5
CUST1445,38,Female,Employed,Savings,115,2,126682,16,4,17,0,0.56,0,21,63341.0
CUST1081,27,Female,Employed,Savings,130,1,34981,20,5,8,0,0.81,0,13,34981.0
CUST2708,43,Male,Employed,Savings,150,2,7540,11,8,8,0,0.57,1,16,3770.0
CUST2211,53,Female,Unemployed,Current,113,2,72723,17,6,10,1,0.94,0,16,36361.5
CUST2286,34,Male,Self-employed,Savings,51,2,669982,11,10,8,0,0.93,0,18,334991.0
CUST2626,37,Male,Employed,Savings,151,1,66302,20,7,7,0,0.86,0,14,66302.0
CUST2378,35,Male,Employed,Savings,44,3,39818,18,7,15,0,0.8,1,22,13272.67
CUST1413,39,Male,Employed,Savings,146,1,25168,15,5,14,0,0.93,1,19,25168.0
CUST0117,34,Male,Self-employed,Fixed Deposit,101,3,161885,14,10,12,0,0.69,0,22,53961.67
CUST0648,26,Female,Employed,Savings,18,1,16286,21,9,14,1,0.6,0,23,16286.0
CUST1079,34,Male,Employed,Savings,87,3,47256,19,7,8,0,0.87,1,15,15752.0
CUST1241,47,Male,Employed,Savings,14,4,237454,12,10,14,0,0.8,0,24,59363.5
CUST2645,41,Male,Self-employed,Savings,51,1,253112,11,11,11,0,0.54,0,22,253112.0
CUST2605,39,Female,Employed,Savings,128,3,38357,15,8,8,0,0.59,0,16,12785.67
CUST1706,34,Female,Self-employed,Current,92,3,168054,15,9,12,0,0.75,0,21,56018.0
CUST2463,41,Female,Employed,Fixed Deposit,52,2,29101,12,8,16,0,0.85,0,24,14550.5
CUST0873,18,Male,Employed,Current,57,2,149446,15,8,7,1,0.53,1,15,74723.0
CUST2736,34,Female,Self-employed,Savings,105,2,51746,20,5,9,1,0.91,0,14,25873.0
CUST0757,20,Male,Self-employed,Fixed Deposit,93,2,61933,12,11,7,0,0.64,0,18,30966.5
CUST1965,31,Male,Employed,Savings,50,2,16336,20,11,8,0,0.92,1,19,8168.0
CUST0988,21,Female,Employed,Fixed Deposit,77,2,223864,12,9,5,0,0.78,0,14,111932.0
CUST2495,48,Female,Employed,Savings,114,2,11591,10,5,14,0,0.57,0,19,5795.5
CUST2869,28,Female,Self-employed,Savings,153,1,113229,12,6,11,0,0.87,0,17,113229.0
CUST2879,30,Female,Self-employed,Current,72,2,275800,20,11,8,0,0.57,0,19,137900.0
CUST0711,47,Male,Employed,Savings,75,1,126088,16,7,15,1,0.92,1,22,126088.0
CUST1492,43,Female,Employed,Savings,75,3,214081,12,7,19,0,0.98,0,26,71360.33
CUST1234,32,Male,Unemployed,Savings,95,1,233903,17,3,7,0,0.5,0,10,233903.0
CUST0349,18,Male,Self-employed,Savings,150,1,88259,21,7,8,0,0.9,0,15,88259.0
CUST1425,43,Female,Employed,Savings,128,1,105888,14,12,13,0,0.89,0,25,105888.0
CUST2225,31,Female,Self-employed,Savings,119,1,95889,17,8,9,0,0.9,0,17,95889.0
CUST0386,28,Male,Employed,Current,153,1,173545,13,8,6,1,0.86,0,14,173545.0
CUST1165,30,Male,Self-employed,Current,170,2,178908,18,3,10,1,0.94,1,13,89454.0
CUST2072,24,Male,Employed,Savings,158,2,242762,15,12,9,0,0.89,0,21,121381.0
CUST2993,21,Male,Self-employed,Current,23,4,163572,17,7,11,1,0.94,0,18,40893.0
CUST1987,25,Male,Employed,Savings,51,2,109721,11,9,14,0,0.61,1,23,54860.5
CUST1154,46,Male,Employed,Savings,148,3,215716,16,4,9,0,0.65,0,13,71905.33
CUST2213,25,Female,Employed,Fixed Deposit,83,1,20495,13,5,16,0,0.77,0,21,20495.0
CUST1612,40,Female,Employed,Current,101,4,41603,16,4,16,1,0.6,0,20,10400.75
CUST1401,39,Female,Employed,Savings,67,1,77568,13,8,14,1,0.74,1,22,77568.0
CUST2218,18,Male,Self-employed,Savings,33,4,213342,21,8,5,0,0.79,0,13,53335.5
CUST1469,50,Female,Unemployed,Fixed Deposit,148,4,21193,18,10,11,0,0.75,0,21,5298.25
CUST0710,37,Male,Employed,Fixed Deposit,116,2,34173,12,12,15,0,0.86,0,27,17086.5
CUST1258,45,Female,Employed,Savings,132,4,588812,22,6,9,0,0.8,1,15,147203.0
CUST2470,26,Female,Employed,Savings,119,1,219573,13,14,6,0,0.93,0,20,219573.0
CUST2556,31,Female,Employed,Current,35,3,28978,16,7,6,0,0.55,0,13,9659.33
CUST2112,32,Male,Employed,Savings,159,4,45100,15,8,9,0,0.76,0,17,11275.0
CUST2128,42,Male,Employed,Current,21,3,36135,19,14,11,1,0.88,0,25,12045.0
CUST1507,23,Female,Self-employed,Current,168,2,70904,17,8,11,0,0.98,0,19,35452.0
CUST2596,30,Male,Employed,Savings,94,2,2122,13,11,10,2,0.84,0,21,1061.0
CUST2523,41,Male,Employed,Current,115,2,293556,19,11,7,0,0.8,0,18,146778.0
CUST2339,46,Male,Employed,Savings,62,4,47348,14,9,11,0,0.97,0,20,11837.0
CUST2813,26,Male,Employed,Savings,175,2,246109,17,11,10,0,0.53,0,21,123054.5
CUST1347,49,Male,Employed,Current,73,3,138045,13,6,10,1,0.82,0,16,46015.0
CUST2527,34,Female,Employed,Current,76,2,23149,10,7,7,0,0.71,0,14,11574.5
CUST1987,42,Male,Employed,Current,148,1,68236,19,12,7,0,0.74,1,19,68236.0
CUST0905,44,Female,Self-employed,Current,60,1,83279,11,10,6,0,0.66,0,16,83279.0
