Age,Gender,Employment_Status,Account_Type,Tenure_Months,Number_of_Products,Avg_Balance,Monthly_Transactions,Online_Banking_Usage,Mobile_Banking_Usage,Number_of_Complaints,Complaint_Resolution_Rate,Total_Digital_Usage,Balance_per_Product
29,Male,Employed,Savings,35,1,267095,17,8,5,0,0.86,13,267095.0
22,Male,Employed,Savings,147,4,1609,9,7,10,0,0.55,17,402.25
31,Male,Unemployed,Current,22,4,34713,15,11,13,0,0.87,24,8678.25
38,Male,Self-employed,Current,142,1,364970,17,11,17,0,0.72,28,364970.0
31,Female,Employed,Current,139,1,20014,15,8,5,0,0.77,13,20014.0
38,Female,Self-employed,Savings,163,2,7740,13,6,9,0,0.82,15,3870.0
48,Female,Employed,Current,154,1,54604,16,9,7,0,0.95,16,54604.0
42,Female,Employed,Fixed Deposit,13,4,211300,11,10,13,0,0.68,23,52825.0
38,Female,Self-employed,Fixed Deposit,74,2,263298,18,7,14,0,0.79,21,131649.0
26,Male,Self-employed,Savings,68,3,11720,16,8,11,0,0.79,19,3906.67
50,Female,Employed,Savings,27,3,184945,13,17,12,1,0.98,29,61648.33
45,Male,Employed,Savings,95,1,27148,13,11,8,0,0.81,19,27148.0
38,Female,Self-employed,Current,32,1,247037,11,6,5,0,0.89,11,247037.0
48,Male,Employed,Savings,114,2,254236,13,8,6,0,0.67,14,127118.0
34,Male,Unemployed,Savings,98,3,290469,11,3,8,0,0.79,11,96823.0
47,Female,Employed,Savings,106,1,247714,13,13,15,0,0.5,28,247714.0
40,Male,Employed,Savings,29,2,224654,13,14,8,0,0.59,22,112327.0
27,Male,Employed,Savings,177,3,1873,12,6,6,1,0.8,12,624.33
47,Male,Unemployed,Savings,173,2,53074,17,8,14,0,0.52,22,26537.0
39,Female,Employed,Current,117,1,243581,13,5,16,0,0.8,21,243581.0
70,Female,Unemployed,Current,65,3,166356,21,7,7,0,0.69,14,55452.0
34,Male,Employed,Fixed Deposit,108,2,254517,17,5,8,0,0.91,13,127258.5
44,Male,Unemployed,Savings,103,3,103735,15,9,7,0,0.99,16,34578.33
46,Male,Self-employed,Savings,37,1,4761,13,4,11,0,0.65,15,4761.0
41,Male,Employed,Savings,65,1,118577,15,5,13,0,0.83,18,118577.0
26,Female,Self-employed,Savings,87,1,61881,17,7,10,0,0.75,17,61881.0
41,Male,Self-employed,Savings,159,3,154927,11,13,6,0,0.99,19,51642.33
21,Male,Self-employed,Current,32,1,149856,15,6,9,0,0.72,15,149856.0
51,Female,Employed,Current,90,4,210366,14,5,10,0,0.94,15,52591.5
32,Female,Employed,Savings,70,1,127175,16,14,8,0,0.79,22,127175.0
42,Male,Employed,Savings,14,1,501658,16,6,11,0,0.82,17,501658.0
48,Female,Unemployed,Savings,130,1,18097,15,8,12,0,0.97,20,18097.0
34,Female,Employed,Savings,41,2,75967,13,8,6,0,0.76,14,37983.5
44,Male,Employed,Savings,138,2,7589,16,11,7,0,0.85,18,3794.5
25,Female,Employed,Current,90,1,358422,16,7,13,0,0.8,20,358422.0
33,Female,Employed,Savings,52,2,161401,17,11,8,0,0.73,19,80700.5
31,Male,Unemployed,Savings,76,2,98711,16,9,10,0,0.95,19,49355.5
34,Male,Self-employed,Current,84,3,41960,12,5,14,0,0.92,19,13986.67
27,Female,Employed,Savings,71,1,57593,11,9,8,0,0.51,17,57593.0
18,Male,Employed,Savings,72,4,232104,8,10,14,0,0.63,24,58026.0
32,Female,Unemployed,Savings,78,1,160815,15,6,7,0,0.94,13,160815.0
33,Male,Employed,Fixed Deposit,57,3,18205,22,7,7,0,0.99,14,6068.33
33,Male,Self-employed,Current,51,3,186187,17,8,6,0,0.54,14,62062.33
28,Male,Employed,Savings,131,4,117791,11,7,11,0,0.52,18,29447.75
29,Female,Self-employed,Savings,168,1,110186,8,9,8,2,0.78,17,110186.0
30,Female,Self-employed,Current,143,1,222295,9,12,13,1,0.59,25,222295.0
18,Female,Self-employed,Savings,164,2,57862,22,9,6,0,0.62,15,28931.0
34,Male,Employed,Current,77,1,365604,21,6,12,0,0.88,18,365604.0
27,Female,Employed,Savings,130,1,34981,20,5,8,0,0.81,13,34981.0
37,Male,Employed,Savings,48,1,90866,20,9,7,0,0.81,16,90866.0
55,Female,Employed,Savings,166,1,95060,12,4,10,0,0.96,14,95060.0
26,Female,Employed,Fixed Deposit,50,1,124131,13,11,9,0,0.99,20,124131.0
24,Female,Employed,Savings,98,2,450853,10,9,11,0,0.76,20,225426.5
39,Male,Self-employed,Fixed Deposit,150,1,299528,16,4,12,0,0.51,16,299528.0
34,Male,Employed,Savings,28,1,527681,15,7,9,0,0.91,16,527681.0
18,Male,Employed,Savings,171,1,331090,21,8,5,0,0.73,13,331090.0
18,Male,Self-employed,Savings,171,2,53491,11,8,11,0,0.71,19,26745.5
35,Male,Self-employed,Savings,104,1,1060248,14,10,11,1,0.6,21,1060248.0
53,Female,Self-employed,Fixed Deposit,70,1,10991,17,11,14,0,0.88,25,10991.0
35,Female,Employed,Current,31,1,19780,17,5,12,1,0.69,17,19780.0
18,Female,Employed,Fixed Deposit,108,2,107267,19,7,9,1,0.52,16,53633.5
51,Male,Unemployed,Savings,124,2,126920,17,8,8,0,0.55,16,63460.0
37,Female,Unemployed,Savings,56,4,1442429,13,8,7,2,0.9,15,360607.25
29,Female,Self-employed,Current,37,4,12188,11,8,10,0,0.98,18,3047.0
20,Male,Employed,Savings,125,1,176500,13,5,10,0,0.72,15,176500.0
38,Male,Self-employed,Savings,97,1,39803,15,8,8,0,0.6,16,39803.0
45,Female,Employed,Savings,28,1,58501,17,12,14,0,0.78,26,58501.0
41,Female,Employed,Fixed Deposit,61,1,119660,17,6,5,0,0.58,11,119660.0
46,Female,Self-employed,Current,151,1,71736,14,13,9,1,0.62,22,71736.0
51,Female,Employed,Savings,59,3,52797,17,9,14,0,0.62,23,17599.0
22,Female,Employed,Current,130,3,54098,19,9,8,1,0.72,17,18032.67
42,Male,Employed,Savings,104,3,158115,27,5,9,0,0.56,14,52705.0
44,Male,Employed,Savings,122,1,143276,15,8,13,0,0.84,21,143276.0
37,Male,Employed,Current,38,1,44075,21,8,10,1,0.92,18,44075.0
36,Female,Employed,Savings,77,1,33634,10,15,6,1,0.7,21,33634.0
30,Female,Employed,Savings,80,3,20695,13,10,10,0,0.57,20,6898.33
18,Female,Self-employed,Savings,86,1,23439,10,9,14,0,0.73,23,23439.0
53,Female,Unemployed,Fixed Deposit,68,4,87756,17,7,4,0,0.69,11,21939.0
35,Male,Self-employed,Current,141,1,105751,13,9,8,0,0.87,17,105751.0
48,Male,Self-employed,Current,120,1,28058,19,7,9,1,0.97,16,28058.0
40,Male,Self-employed,Fixed Deposit,25,1,15947,14,11,13,0,0.59,24,15947.0
32,Female,Unemployed,Fixed Deposit,39,1,10064,7,9,8,0,0.97,17,10064.0
25,Male,Self-employed,Current,130,4,167467,16,11,7,0,0.53,18,41866.75
22,Male,Employed,Current,143,4,73408,17,7,9,0,0.63,16,18352.0
28,Male,Unemployed,Fixed Deposit,44,4,2181,9,10,4,0,0.79,14,545.25
25,Male,Employed,Savings,165,3,3925,20,9,7,0,0.84,16,1308.33
24,Male,Employed,Savings,118,1,149075,11,5,7,0,0.57,12,149075.0
39,Female,Self-employed,Savings,57,4,151552,16,6,10,0,0.63,16,37888.0
51,Female,Self-employed,Savings,50,2,292263,13,11,8,0,0.92,19,146131.5
56,Male,Employed,Current,63,1,69527,18,10,12,0,0.63,22,69527.0
42,Female,Self-employed,Savings,158,1,125226,14,6,4,0,0.91,10,125226.0
18,Male,Employed,Savings,97,4,48023,16,10,13,0,0.59,23,12005.75
38,Female,Employed,Savings,100,2,279791,16,5,7,1,0.98,12,139895.5
40,Male,Employed,Fixed Deposit,70,2,480631,15,10,12,0,0.95,22,240315.5
42,Female,Self-employed,Current,177,1,69094,19,9,8,0,0.59,17,69094.0
24,Female,Self-employed,Fixed Deposit,113,1,285142,19,5,10,0,0.82,15,285142.0
33,Male,Self-employed,Savings,112,3,317222,17,8,9,0,0.86,17,105740.67
38,Male,Self-employed,Savings,150,2,198720,16,9,9,1,0.52,18,99360.0
30,Male,Self-employed,Current,162,4,87032,24,10,10,0,0.94,20,21758.0
27,Female,Employed,Savings,73,2,79368,17,6,8,0,0.97,14,39684.0
34,Female,Employed,Savings,23,1,47995,17,3,16,0,0.81,19,47995.0
19,Male,Employed,Savings,103,1,229724,22,10,8,0,0.96,18,229724.0
39,Female,Employed,Fixed Deposit,147,1,171168,14,5,7,0,0.77,12,171168.0
40,Male,Employed,Current,138,1,460184,13,12,10,0,0.82,22,460184.0
35,Female,Employed,Current,78,1,400827,7,12,7,0,0.66,19,400827.0
25,Male,Employed,Current,58,1,130009,10,7,8,0,0.97,15,130009.0
46,Male,Unemployed,Current,143,1,41492,14,7,6,2,0.81,13,41492.0
32,Female,Self-employed,Fixed Deposit,164,2,60468,9,13,4,0,0.62,17,30234.0
28,Male,Employed,Savings,127,2,169925,15,9,7,0,0.88,16,84962.5
29,Female,Self-employed,Current,63,4,67047,15,13,11,0,0.71,24,16761.75
37,Male,Self-employed,Savings,87,2,51490,15,10,6,0,0.76,16,25745.0
27,Female,Self-employed,Current,165,4,186541,14,5,14,0,0.95,19,46635.25
22,Male,Unemployed,Current,58,2,63854,21,7,10,0,0.71,17,31927.0
25,Male,Self-employed,Savings,123,1,284632,13,17,16,0,0.67,33,284632.0
25,Male,Self-employed,Current,61,3,197604,17,3,11,0,0.56,14,65868.0
46,Female,Self-employed,Savings,47,1,235731,10,11,7,1,0.87,18,235731.0
37,Female,Self-employed,Savings,84,1,69857,14,1,15,1,0.79,16,69857.0
49,Female,Unemployed,Current,162,4,93337,19,4,12,1,0.83,16,23334.25
45,Male,Employed,Savings,85,2,136574,13,13,12,0,0.5,25,68287.0
42,Male,Employed,Savings,38,2,79882,11,8,11,0,0.61,19,39941.0
36,Male,Employed,Current,117,3,43522,18,11,5,0,0.99,16,14507.33
27,Female,Self-employed,Current,62,1,138353,27,9,10,0,0.52,19,138353.0
37,Female,Employed,Savings,98,1,120299,20,7,5,0,0.88,12,120299.0
61,Female,Employed,Current,96,3,19124,18,6,7,0,0.76,13,6374.67
35,Male,Unemployed,Savings,113,2,81743,12,8,15,0,0.82,23,40871.5
18,Male,Employed,Current,152,4,125503,21,6,8,0,0.85,14,31375.75
21,Female,Employed,Savings,70,1,106030,18,8,13,0,0.7,21,106030.0
40,Male,Employed,Current,58,1,243039,24,6,12,0,0.78,18,243039.0
37,Male,Employed,Savings,23,2,55694,17,8,13,0,0.8,21,27847.0
22,Male,Unemployed,Savings,95,2,885,14,13,11,0,0.71,24,442.5
38,Female,Employed,Savings,140,1,62806,20,9,8,0,0.69,17,62806.0
31,Female,Self-employed,Savings,25,1,129035,21,7,11,0,0.72,18,129035.0
26,Male,Employed,Fixed Deposit,57,1,339207,9,8,7,0,0.71,15,339207.0
26,Female,Self-employed,Savings,48,1,152979,24,11,11,0,0.51,22,152979.0
34,Female,Employed,Current,50,2,83953,17,6,6,0,0.51,12,41976.5
29,Male,Employed,Current,23,3,50352,14,7,9,0,0.62,16,16784.0
32,Female,Self-employed,Savings,119,2,167766,17,13,7,0,0.93,20,83883.0
23,Female,Self-employed,Savings,98,4,8542,21,5,11,0,0.72,16,2135.5
26,Male,Employed,Fixed Deposit,85,1,372482,18,9,3,1,0.51,12,372482.0
48,Male,Employed,Current,178,2,59534,17,10,12,0,0.69,22,29767.0
45,Female,Employed,Savings,51,2,188755,16,8,5,0,0.99,13,94377.5
47,Male,Employed,Savings,74,1,115011,16,6,13,0,0.56,19,115011.0
30,Male,Employed,Savings,179,1,5198,14,6,5,0,0.7,11,5198.0
49,Male,Employed,Savings,176,1,266222,18,10,14,2,0.89,24,266222.0
30,Female,Employed,Savings,73,4,191034,20,12,8,0,0.64,20,47758.5
38,Female,Employed,Fixed Deposit,75,2,131289,14,14,13,0,0.55,27,65644.5
19,Male,Employed,Savings,169,2,74657,17,8,10,0,0.96,18,37328.5
39,Female,Employed,Savings,89,2,112066,21,9,8,0,0.87,17,56033.0
36,Female,Employed,Current,19,3,38280,15,7,3,0,0.68,10,12760.0
31,Male,Employed,Current,16,3,433430,12,9,11,0,0.88,20,144476.67
24,Male,Employed,Savings,93,3,44035,9,6,11,0,1.0,17,14678.33
53,Male,Employed,Savings,152,4,188288,21,13,11,1,0.68,24,47072.0
58,Female,Employed,Current,126,1,75451,12,9,12,0,0.55,21,75451.0
37,Male,Self-employed,Savings,129,1,107628,16,16,12,0,0.62,28,107628.0
23,Male,Self-employed,Savings,132,1,508823,10,8,7,0,0.62,15,508823.0
48,Male,Self-employed,Savings,59,2,866872,10,10,13,0,0.75,23,433436.0
36,Female,Employed,Savings,30,2,93718,13,6,8,0,0.92,14,46859.0
31,Male,Employed,Savings,64,1,312638,7,5,8,0,0.97,13,312638.0
44,Male,Self-employed,Savings,120,3,9819,16,5,6,0,0.64,11,3273.0
24,Female,Employed,Savings,31,1,100041,21,6,4,0,0.58,10,100041.0
31,Male,Self-employed,Savings,99,2,35739,20,10,9,0,0.67,19,17869.5
48,Female,Employed,Savings,81,2,279132,11,11,11,1,0.79,22,139566.0
37,Male,Self-employed,Savings,123,2,75050,13,12,11,1,0.82,23,37525.0
44,Male,Employed,Savings,23,4,420705,17,9,7,0,0.79,16,105176.25
22,Male,Employed,Current,91,3,110046,8,3,11,0,0.9,14,36682.0
33,Male,Employed,Current,112,1,37204,13,11,10,0,0.67,21,37204.0
46,Male,Employed,Savings,168,2,43571,18,10,5,1,0.78,15,21785.5
29,Male,Employed,Current,84,1,129303,6,10,10,0,0.71,20,129303.0
35,Male,Employed,Savings,112,4,342669,10,9,15,0,0.78,24,85667.25
51,Male,Employed,Savings,62,1,61806,10,11,10,0,0.78,21,61806.0
40,Male,Self-employed,Current,14,3,11742,19,5,13,0,0.53,18,3914.0
44,Female,Employed,Savings,140,2,453965,13,6,9,0,0.54,15,226982.5
44,Female,Employed,Savings,117,3,76125,13,12,10,1,0.86,22,25375.0
43,Female,Self-employed,Savings,17,2,34926,22,2,4,0,0.51,6,17463.0
21,Female,Employed,Current,48,1,136628,12,8,12,0,0.71,20,136628.0
47,Male,Employed,Savings,14,4,237454,12,10,14,0,0.8,24,59363.5
18,Male,Employed,Savings,110,1,186494,23,6,8,0,0.9,14,186494.0
38,Female,Self-employed,Savings,58,3,210464,10,7,16,0,0.89,23,70154.67
36,Female,Employed,Savings,178,3,61577,13,5,10,0,0.66,15,20525.67
44,Male,Self-employed,Savings,145,4,294854,17,10,11,0,0.86,21,73713.5
31,Male,Unemployed,Savings,123,4,95312,18,8,11,0,0.81,19,23828.0
42,Male,Employed,Savings,110,3,193472,15,9,10,0,0.75,19,64490.67
18,Female,Employed,Savings,34,3,97270,15,10,12,0,0.58,22,32423.33
48,Male,Employed,Current,164,3,325609,12,7,9,0,0.79,16,108536.33
32,Female,Self-employed,Savings,148,2,337040,17,5,17,0,0.87,22,168520.0
45,Female,Employed,Savings,16,3,69154,17,3,9,1,0.82,12,23051.33
47,Female,Self-employed,Current,51,3,509077,17,7,12,0,0.99,19,169692.33
38,Female,Self-employed,Savings,125,2,68842,20,6,8,2,0.7,14,34421.0
31,Male,Employed,Current,180,3,576850,16,9,10,0,0.53,19,192283.33
45,Female,Unemployed,Current,57,2,49543,15,11,7,0,0.6,18,24771.5
18,Male,Employed,Fixed Deposit,179,1,16021,16,1,16,0,0.65,17,16021.0
25,Male,Employed,Current,74,3,81271,18,6,12,1,0.71,18,27090.33
38,Male,Self-employed,Savings,51,1,212567,11,8,13,1,0.84,21,212567.0
42,Male,Employed,Current,119,1,24930,25,13,8,0,0.78,21,24930.0
27,Female,Employed,Savings,46,4,19586,15,11,11,0,0.9,22,4896.5
33,Male,Employed,Current,49,2,565401,16,8,12,0,0.74,20,282700.5
29,Female,Employed,Fixed Deposit,168,1,79926,18,9,13,1,0.84,22,79926.0
34,Male,Employed,Savings,79,1,327667,14,10,14,0,0.69,24,327667.0
47,Male,Self-employed,Fixed Deposit,158,1,133312,18,9,6,1,0.52,15,133312.0
32,Male,Unemployed,Fixed Deposit,140,1,57683,18,11,10,0,0.83,21,57683.0
42,Female,Self-employed,Savings,140,2,57050,15,7,11,0,0.59,18,28525.0
47,Female,Employed,Fixed Deposit,51,2,168483,9,10,7,0,0.76,17,84241.5
30,Female,Unemployed,Savings,70,2,55863,16,8,18,0,0.71,26,27931.5
23,Male,Employed,Current,178,1,295105,17,7,10,0,0.95,17,295105.0
38,Female,Employed,Current,86,2,52678,10,7,10,0,0.56,17,26339.0
40,Female,Employed,Savings,160,2,777995,8,10,8,0,0.55,18,388997.5
33,Female,Unemployed,Current,93,1,88938,9,9,15,0,0.71,24,88938.0
26,Male,Employed,Savings,102,1,55914,17,9,9,1,0.51,18,55914.0
32,Male,Employed,Savings,31,4,216317,12,4,11,1,0.65,15,54079.25
46,Female,Employed,Savings,176,2,95620,12,11,13,1,0.62,24,47810.0
44,Female,Employed,Savings,53,2,38632,18,6,6,1,0.59,12,19316.0
56,Female,Employed,Current,60,2,88633,10,8,3,0,0.82,11,44316.5
44,Male,Employed,Savings,83,1,58678,17,8,10,1,0.81,18,58678.0
30,Male,Self-employed,Savings,168,1,101057,16,7,11,0,0.76,18,101057.0
40,Male,Self-employed,Savings,151,4,386561,19,9,10,1,0.87,19,96640.25
26,Male,Unemployed,Current,91,3,20977,22,6,8,1,0.9,14,6992.33
32,Female,Self-employed,Savings,77,3,415938,13,3,8,0,0.69,11,138646.0
25,Female,Employed,Savings,110,1,140503,17,6,10,1,0.59,16,140503.0
49,Female,Employed,Savings,42,3,191604,16,9,5,0,0.68,14,63868.0
18,Male,Self-employed,Current,178,1,25937,15,8,5,0,0.77,13,25937.0
35,Female,Employed,Savings,67,1,79569,15,10,7,0,0.59,17,79569.0
34,Female,Employed,Fixed Deposit,48,1,182854,19,5,5,0,0.82,10,182854.0
38,Male,Employed,Savings,133,1,447550,23,12,9,0,0.7,21,447550.0
31,Female,Employed,Current,45,2,1090542,15,9,11,1,0.78,20,545271.0
33,Female,Self-employed,Current,20,1,160182,14,14,8,1,0.79,22,160182.0
41,Male,Self-employed,Savings,53,1,379294,14,9,10,0,0.57,19,379294.0
60,Female,Employed,Savings,89,4,434396,13,8,8,1,0.92,16,108599.0
28,Male,Employed,Savings,76,3,62944,15,11,14,1,0.58,25,20981.33
51,Female,Employed,Current,48,2,40930,15,5,9,0,0.64,14,20465.0
33,Male,Employed,Savings,173,4,559971,21,5,8,0,0.99,13,139992.75
42,Male,Employed,Savings,57,2,259847,21,8,13,1,0.92,21,129923.5
54,Female,Self-employed,Current,156,3,84365,14,6,4,0,0.54,10,28121.67
47,Male,Self-employed,Savings,135,2,330607,15,10,15,1,0.99,25,165303.5
35,Female,Employed,Savings,19,3,74478,20,7,8,0,0.53,15,24826.0
30,Male,Employed,Fixed Deposit,111,1,261342,14,9,9,0,0.57,18,261342.0
44,Male,Employed,Savings,69,1,117225,21,10,7,0,0.69,17,117225.0
43,Male,Self-employed,Savings,63,2,175325,19,10,11,0,0.57,21,87662.5
27,Male,Employed,Savings,37,3,318806,19,10,19,0,0.77,29,106268.67
38,Female,Employed,Savings,125,4,225029,23,9,10,0,0.85,19,56257.25
29,Female,Self-employed,Current,125,1,417937,12,4,6,0,0.72,10,417937.0
31,Female,Unemployed,Fixed Deposit,37,1,14032,19,7,12,1,0.74,19,14032.0
34,Female,Employed,Savings,53,1,324562,19,5,10,0,0.85,15,324562.0
44,Female,Unemployed,Current,30,1,86747,6,6,16,1,0.78,22,86747.0
49,Female,Employed,Savings,106,1,225957,9,9,9,2,0.51,18,225957.0
31,Male,Employed,Current,52,2,102977,24,5,9,0,0.84,14,51488.5
28,Female,Self-employed,Current,51,1,25806,6,3,12,0,0.74,15,25806.0
45,Female,Unemployed,Savings,56,3,160882,13,15,10,0,0.82,25,53627.33
45,Female,Employed,Current,86,3,74868,18,10,9,0,0.73,19,24956.0
42,Female,Self-employed,Current,132,3,174482,11,7,10,0,0.98,17,58160.67
33,Female,Employed,Savings,134,3,122349,14,4,9,0,0.61,13,40783.0
39,Female,Self-employed,Current,144,3,44052,16,10,8,0,0.55,18,14684.0
48,Female,Employed,Savings,137,1,149168,18,8,13,0,0.8,21,149168.0
32,Male,Unemployed,Savings,134,1,70112,14,13,7,0,0.52,20,70112.0
52,Female,Unemployed,Savings,46,2,79400,13,5,15,0,0.56,20,39700.0
58,Female,Self-employed,Savings,108,1,318063,14,7,9,0,0.99,16,318063.0
55,Male,Employed,Savings,162,2,78517,10,7,9,0,0.72,16,39258.5
32,Female,Employed,Savings,173,1,92422,12,2,8,0,0.92,10,92422.0
26,Female,Unemployed,Current,166,1,80962,20,10,13,0,0.7,23,80962.0
40,Female,Employed,Current,79,3,27664,14,10,11,1,0.89,21,9221.33
31,Male,Self-employed,Current,110,4,218714,14,13,14,0,0.76,27,54678.5
43,Female,Employed,Savings,167,2,500,12,5,11,2,0.92,16,250.0
50,Male,Employed,Savings,160,1,33348,8,8,11,0,0.84,19,33348.0
34,Male,Employed,Fixed Deposit,89,3,60988,15,5,11,0,0.59,16,20329.33
39,Female,Employed,Fixed Deposit,133,1,241344,15,3,7,0,0.76,10,241344.0
